Id,Estado,Genero,Idade
110,SC,Masculino,33
111,PR,Masculino,35
112,PR,Masculino,30
113,PR,Masculino,39
114,RS,Masculino,42
115,SC,Masculino,36
116,PR,Masculino,28
117,PR,Feminino,30
118,PR,Feminino,37
119,RS,Feminino,41
120,PR,Feminino,31
121,PR,Masculino,34
122,RS,Masculino,34
123,SC,Masculino,39
124,RS,Feminino,39
125,PR,Feminino,48
126,RS,Feminino,28
127,RS,Masculino,42
128,RS,Feminino,52
129,PR,Masculino,56
130,RS,Feminino,41
131,RS,Masculino,24
132,RS,Feminino,34
133,PR,Feminino,33
134,RS,Masculino,38
135,RS,Masculino,25
136,PR,Masculino,39
137,PR,Feminino,50
138,PR,Feminino,34
139,RS,Masculino,40
140,SC,Feminino,48
141,SC,Feminino,35
142,PR,Masculino,44
143,RS,Feminino,34
144,RS,Feminino,43
145,SC,Masculino,52
146,RS,Feminino,31
147,SC,Feminino,21
148,SC,Feminino,29
149,RS,Masculino,37
150,RS,Masculino,44
151,RS,Masculino,32
152,SC,Feminino,32
153,RS,Feminino,48
154,SC,Masculino,42
155,RS,Masculino,37
156,RS,Feminino,43
157,SC,Masculino,57
158,RS,Feminino,33
159,SC,Feminino,28
160,RS,Feminino,73
161,PR,Feminino,33
162,SC,Feminino,22
163,RS,Masculino,30
164,RS,Feminino,49
165,SC,Feminino,36
166,SC,Masculino,29
167,PR,Masculino,31
168,PR,Feminino,24
169,SC,Feminino,41
170,SC,Feminino,39
171,PR,Masculino,24
172,RS,Feminino,29
173,PR,Masculino,27
174,PR,Masculino,44
175,RS,Masculino,30
176,RS,Masculino,40
177,SC,Feminino,35
178,RS,Feminino,30
179,PR,Masculino,36
180,SC,Feminino,40
181,PR,Feminino,55
182,SC,Feminino,45
183,RS,Masculino,65
184,PR,Feminino,45
185,RS,Masculino,42
186,RS,Feminino,50
187,RS,Masculino,32
188,RS,Feminino,39
189,SC,Feminino,37
190,SC,Masculino,30
191,PR,Feminino,34
192,RS,Feminino,41
193,RS,Feminino,36
194,RS,Masculino,40
195,RS,Masculino,32
196,SC,Masculino,29
197,RS,Masculino,35
198,SC,Feminino,32
199,PR,Masculino,37
200,RS,Masculino,57
201,RS,Masculino,35
202,SC,Masculino,30
203,RS,Masculino,42
204,SC,Masculino,50
205,RS,Feminino,38
206,SC,Masculino,33
207,RS,Masculino,37
208,SC,Feminino,41
209,RS,Masculino,34
210,RS,Masculino,45
211,RS,Masculino,45
212,PR,Masculino,33
213,RS,Masculino,31
214,RS,Feminino,41
215,RS,Masculino,34
216,PR,Masculino,26
217,PR,Masculino,47
218,RS,Masculino,46
219,SC,Feminino,33
220,RS,Masculino,43
221,RS,Masculino,54
222,RS,Feminino,31
223,SC,Masculino,30
224,RS,Masculino,42
225,RS,Masculino,33
226,PR,Masculino,45
227,RS,Masculino,37
228,RS,Feminino,30
229,PR,Feminino,39
230,PR,Masculino,50
231,PR,Feminino,29
232,RS,Masculino,72
233,RS,Masculino,40
234,RS,Feminino,37
235,PR,Masculino,20
236,RS,Feminino,67
237,PR,Masculino,42
238,RS,Feminino,29
239,PR,Feminino,43
240,RS,Feminino,46
241,RS,Masculino,28
242,SC,Masculino,38
243,PR,Feminino,39
244,RS,Masculino,37
245,PR,Masculino,67
246,SC,Masculino,34
247,RS,Feminino,40
248,PR,Masculino,26
249,RS,Feminino,26
250,PR,Masculino,24
251,PR,Masculino,54
252,PR,Feminino,36
253,SC,Feminino,34
254,RS,Feminino,79
255,PR,Masculino,37
256,SC,Masculino,28
257,SC,Masculino,41
258,RS,Masculino,34
259,PR,Feminino,34
260,RS,Feminino,30
261,PR,Masculino,38
262,PR,Masculino,42
263,SC,Feminino,48
264,RS,Feminino,32
265,RS,Feminino,26
266,SC,Masculino,31
267,SC,Feminino,36
268,RS,Masculino,34
269,RS,Masculino,36
270,SC,Feminino,39
271,PR,Feminino,35
272,SC,Masculino,41
273,PR,Masculino,34
274,PR,Feminino,34
275,RS,Masculino,30
276,PR,Masculino,28
277,SC,Feminino,37
278,RS,Masculino,62
279,RS,Feminino,53
280,RS,Masculino,35
281,RS,Masculino,46
282,RS,Masculino,39
283,SC,Masculino,29
284,PR,Masculino,35
285,RS,Masculino,42
286,RS,Feminino,22
287,RS,Masculino,40
288,SC,Masculino,29
289,RS,Feminino,32
290,SC,Feminino,26
291,SC,Masculino,34
292,PR,Masculino,42
293,SC,Feminino,41
294,RS,Masculino,27
295,SC,Feminino,34
296,RS,Masculino,38
297,RS,Masculino,25
298,RS,Masculino,31
299,SC,Feminino,44
300,RS,Masculino,58
301,RS,Masculino,33
302,RS,Feminino,31
303,SC,Feminino,36
304,RS,Masculino,35
305,RS,Feminino,33
306,RS,Masculino,33
307,RS,Masculino,31
308,RS,Masculino,43
309,PR,Masculino,35
310,RS,Masculino,50
311,PR,Masculino,31
312,RS,Feminino,80
313,PR,Masculino,30
314,RS,Masculino,38
315,PR,Feminino,59
316,SC,Masculino,36
317,SC,Masculino,37
318,RS,Masculino,49
319,SC,Masculino,42
320,SC,Feminino,22
321,RS,Masculino,24
322,SC,Feminino,57
323,RS,Feminino,30
324,RS,Masculino,40
325,RS,Feminino,31
326,RS,Masculino,30
327,RS,Masculino,35
328,RS,Masculino,35
329,RS,Feminino,46
330,PR,Masculino,35
331,PR,Masculino,26
332,RS,Masculino,50
333,SC,Feminino,40
334,PR,Masculino,44
335,PR,Feminino,30
336,SC,Feminino,37
337,RS,Masculino,29
338,PR,Feminino,32
339,RS,Masculino,33
340,SC,Feminino,39
341,PR,Feminino,39
342,PR,Feminino,40
343,RS,Masculino,31
344,SC,Feminino,47
345,RS,Masculino,22
346,RS,Feminino,25
347,RS,Feminino,43
348,PR,Feminino,34
349,PR,Masculino,59
350,PR,Feminino,32
351,RS,Masculino,39
352,SC,Masculino,32
353,SC,Masculino,39
354,SC,Feminino,32
355,SC,Masculino,25
356,RS,Feminino,45
357,RS,Masculino,30
358,SC,Feminino,57
359,SC,Masculino,34
360,RS,Masculino,41
361,RS,Masculino,58
362,SC,Masculino,28
363,PR,Feminino,45
364,RS,Feminino,50
365,PR,Feminino,29
366,RS,Masculino,68
367,SC,Feminino,33
368,PR,Feminino,42
369,PR,Feminino,35
370,PR,Masculino,34
371,RS,Feminino,29
372,SC,Masculino,42
373,PR,Feminino,75
374,PR,Masculino,31
375,PR,Masculino,31
376,PR,Masculino,35
377,RS,Feminino,39
378,PR,Masculino,45
379,SC,Masculino,35
380,SC,Feminino,30
381,SC,Feminino,39
382,RS,Feminino,50
383,RS,Masculino,36
384,PR,Feminino,30
385,PR,Masculino,28
386,PR,Masculino,44
387,RS,Feminino,66
388,SC,Masculino,46
389,SC,Masculino,62
390,SC,Feminino,45
391,RS,Feminino,21
392,PR,Feminino,29
393,PR,Masculino,38
394,SC,Masculino,46
395,SC,Masculino,38
396,SC,Feminino,24
397,PR,Feminino,37
398,RS,Masculino,33
399,PR,Masculino,32
400,RS,Feminino,39
401,RS,Feminino,66
402,RS,Masculino,52
403,PR,Feminino,38
404,SC,Masculino,52
405,SC,Masculino,36
406,RS,Masculino,23
407,RS,Masculino,36
408,SC,Feminino,49
409,SC,Feminino,37
410,PR,Masculino,37
411,PR,Feminino,41
412,SC,Masculino,23
413,RS,Masculino,38
414,SC,Feminino,31
415,PR,Feminino,41
416,SC,Masculino,35
417,SC,Masculino,26
418,PR,Feminino,61
419,RS,Feminino,39
420,RS,Feminino,46
421,RS,Feminino,28
422,PR,Feminino,60
423,RS,Feminino,38
424,PR,Masculino,40
425,RS,Feminino,35
426,RS,Masculino,39
427,RS,Masculino,26
428,PR,Masculino,39
429,RS,Masculino,45
430,PR,Feminino,40
431,PR,Masculino,40
432,PR,Masculino,57
433,PR,Masculino,41
434,PR,Feminino,33
435,PR,Feminino,37
436,RS,Masculino,33
437,RS,Feminino,51
438,PR,Feminino,30
439,RS,Masculino,35
440,RS,Feminino,38
441,PR,Feminino,42
442,RS,Feminino,35
443,RS,Feminino,31
444,RS,Feminino,34
445,RS,Masculino,46
446,SC,Masculino,47
447,RS,Feminino,26
448,RS,Masculino,37
449,RS,Masculino,40
450,RS,Feminino,38
451,SC,Feminino,47
452,PR,Feminino,38
453,RS,Masculino,40
454,SC,Masculino,31
455,SC,Feminino,44
456,RS,Feminino,39
457,RS,Masculino,36
458,RS,Masculino,33
459,RS,Masculino,38
460,PR,Masculino,43
461,SC,Masculino,37
462,PR,Masculino,29
463,RS,Masculino,39
464,SC,Feminino,25
465,RS,Feminino,32
466,SC,Masculino,26
467,RS,Masculino,33
468,SC,Feminino,32
469,PR,Feminino,38
470,RS,Masculino,35
471,RS,Masculino,35
472,SC,Masculino,27
473,RS,Masculino,37
474,RS,Masculino,26
475,RS,Masculino,28
476,RS,Feminino,33
477,PR,Masculino,46
478,PR,Feminino,31
479,RS,Feminino,40
480,RS,Masculino,38
481,RS,Masculino,29
482,SC,Masculino,34
483,RS,Feminino,23
484,RS,Masculino,37
485,PR,Masculino,37
486,SC,Masculino,61
487,RS,Feminino,35
488,RS,Masculino,37
489,RS,Masculino,39
490,RS,Masculino,30
491,PR,Feminino,55
492,SC,Masculino,29
493,RS,Feminino,41
494,RS,Feminino,38
495,RS,Feminino,47
496,RS,Feminino,38
497,PR,Masculino,36
498,RS,Feminino,32
499,RS,Masculino,40
500,PR,Masculino,26
501,RS,Feminino,58
502,SC,Masculino,32
503,RS,Masculino,54
504,RS,Masculino,60
505,SC,Masculino,44
506,SC,Feminino,41
507,RS,Masculino,31
508,PR,Masculino,30
509,PR,Feminino,40
510,RS,Masculino,22
511,SC,Feminino,37
512,PR,Feminino,31
513,PR,Feminino,38
514,SC,Masculino,34
515,RS,Masculino,34
516,RS,Feminino,51
517,SC,Masculino,38
518,RS,Feminino,56
519,PR,Masculino,37
520,RS,Masculino,48
521,RS,Masculino,58
522,RS,Feminino,35
523,RS,Masculino,56
524,SC,Masculino,37
525,PR,Masculino,32
526,RS,Masculino,48
527,RS,Feminino,31
528,RS,Masculino,43
529,RS,Masculino,26
530,PR,Feminino,48
531,RS,Masculino,30
532,SC,Feminino,57
533,SC,Feminino,26
534,RS,Masculino,32
535,SC,Masculino,35
536,RS,Feminino,40
537,RS,Masculino,59
538,PR,Masculino,35
539,SC,Masculino,34
540,PR,Feminino,62
541,PR,Feminino,28
542,RS,Masculino,37
543,RS,Masculino,26
544,RS,Feminino,42
545,SC,Masculino,51
546,RS,Feminino,49
547,SC,Feminino,44
548,RS,Masculino,38
549,PR,Feminino,30
550,RS,Masculino,49
551,RS,Masculino,24
552,PR,Feminino,36
553,PR,Masculino,47
554,SC,Feminino,25
555,RS,Masculino,34
556,PR,Masculino,33
557,SC,Feminino,51
558,PR,Masculino,40
559,PR,Masculino,41
560,SC,Masculino,53
561,SC,Feminino,70
562,PR,Feminino,29
563,SC,Masculino,61
564,SC,Masculino,36
565,RS,Feminino,46
566,SC,Feminino,38
567,RS,Masculino,36
568,SC,Feminino,54
569,SC,Feminino,63
570,PR,Masculino,31
571,RS,Masculino,31
572,RS,Masculino,44
573,RS,Masculino,45
574,RS,Masculino,35
575,SC,Feminino,49
576,SC,Masculino,40
577,RS,Feminino,27
578,SC,Feminino,32
579,RS,Masculino,30
580,RS,Feminino,41
581,RS,Masculino,39
582,SC,Masculino,36
583,SC,Feminino,33
584,SC,Feminino,57
585,PR,Feminino,30
586,PR,Feminino,51
587,RS,Feminino,51
588,SC,Masculino,53
589,RS,Masculino,44
590,RS,Masculino,36
591,SC,Feminino,47
592,PR,Feminino,38
593,RS,Masculino,38
594,RS,Feminino,34
595,SC,Masculino,32
596,SC,Feminino,26
597,PR,Feminino,41
598,SC,Masculino,43
599,PR,Masculino,39
600,PR,Feminino,57
601,PR,Feminino,34
602,RS,Feminino,43
603,SC,Feminino,26
604,RS,Feminino,72
605,RS,Masculino,30
606,RS,Masculino,37
607,RS,Masculino,29
608,RS,Masculino,53
609,RS,Masculino,28
610,RS,Masculino,35
611,PR,Feminino,51
612,RS,Masculino,30
613,RS,Feminino,27
614,RS,Feminino,64
615,SC,Masculino,38
616,PR,Masculino,26
617,SC,Feminino,31
618,SC,Masculino,39
619,PR,Feminino,62
620,SC,Masculino,42
621,SC,Feminino,37
622,RS,Masculino,35
623,SC,Feminino,40
624,PR,Feminino,53
625,PR,Masculino,36
626,SC,Feminino,48
627,SC,Masculino,35
628,RS,Masculino,29
629,RS,Masculino,49
630,RS,Masculino,47
631,SC,Feminino,28
632,RS,Feminino,61
633,PR,Feminino,54
634,SC,Feminino,33
635,PR,Masculino,44
636,RS,Masculino,31
637,SC,Feminino,51
638,SC,Feminino,33
639,RS,Masculino,48
640,RS,Feminino,43
641,RS,Feminino,36
642,SC,Masculino,48
643,RS,Feminino,29
644,RS,Feminino,27
645,PR,Feminino,39
646,RS,Feminino,39
647,RS,Feminino,34
648,RS,Feminino,30
649,RS,Masculino,38
650,RS,Feminino,36
651,RS,Masculino,38
652,RS,Feminino,49
653,RS,Masculino,52
654,RS,Masculino,42
655,PR,Masculino,48
656,SC,Masculino,31
657,PR,Masculino,25
658,SC,Masculino,25
659,PR,Feminino,54
660,RS,Masculino,64
661,RS,Feminino,30
662,PR,Feminino,41
663,SC,Masculino,57
664,RS,Masculino,31
665,RS,Masculino,46
666,RS,Feminino,41
667,RS,Masculino,33
668,RS,Feminino,31
669,RS,Masculino,29
670,SC,Masculino,46
671,RS,Feminino,42
672,PR,Feminino,48
673,RS,Masculino,42
674,RS,Masculino,26
675,SC,Feminino,32
676,SC,Masculino,35
677,RS,Feminino,39
678,SC,Feminino,38
679,PR,Masculino,45
680,SC,Feminino,70
681,SC,Feminino,38
682,RS,Masculino,55
683,SC,Masculino,58
684,PR,Feminino,41
685,PR,Feminino,40
686,RS,Masculino,24
687,SC,Masculino,42
688,RS,Feminino,31
689,PR,Feminino,45
690,RS,Feminino,51
691,RS,Feminino,36
692,PR,Masculino,27
693,RS,Masculino,43
694,PR,Masculino,36
695,RS,Masculino,34
696,RS,Feminino,45
697,RS,Masculino,57
698,SC,Masculino,62
699,PR,Feminino,57
700,SC,Masculino,36
701,PR,Masculino,33
702,RS,Feminino,32
703,RS,Masculino,30
704,SC,Feminino,49
705,SC,Masculino,36
706,PR,Masculino,36
707,PR,Masculino,40
708,PR,Masculino,35
709,RS,Masculino,42
710,RS,Feminino,35
711,RS,Feminino,34
712,RS,Masculino,48
713,PR,Masculino,35
714,SC,Masculino,38
715,RS,Feminino,41
716,SC,Feminino,25
717,RS,Masculino,34
718,PR,Feminino,37
719,SC,Feminino,42
720,RS,Masculino,45
721,RS,Feminino,43
722,SC,Feminino,56
723,SC,Feminino,42
724,RS,Masculino,23
725,RS,Feminino,38
726,RS,Masculino,36
727,RS,Feminino,42
728,RS,Masculino,37
729,RS,Feminino,25
730,RS,Feminino,40
731,RS,Feminino,57
732,RS,Masculino,24
733,RS,Feminino,25
734,SC,Masculino,31
735,PR,Masculino,43
736,PR,Feminino,60
737,RS,Masculino,47
738,SC,Masculino,67
739,RS,Masculino,36
740,RS,Masculino,46
741,RS,Feminino,28
742,RS,Feminino,24
743,RS,Masculino,24
744,RS,Masculino,29
745,RS,Feminino,49
746,RS,Masculino,60
747,RS,Masculino,40
748,RS,Masculino,18
749,SC,Feminino,46
750,SC,Masculino,38
751,PR,Masculino,46
752,RS,Masculino,41
753,PR,Feminino,47
754,RS,Feminino,35
755,PR,Masculino,37
756,SC,Feminino,39
757,RS,Masculino,31
758,PR,Feminino,36
759,SC,Feminino,28
760,RS,Feminino,37
761,RS,Masculino,58
762,RS,Feminino,43
763,RS,Feminino,35
764,PR,Feminino,36
765,PR,Feminino,21
766,PR,Masculino,43
767,SC,Feminino,27
768,RS,Feminino,82
769,PR,Masculino,60
770,SC,Masculino,41
771,RS,Feminino,63
772,PR,Feminino,36
773,RS,Masculino,31
774,RS,Masculino,32
775,RS,Masculino,36
776,PR,Masculino,49
777,RS,Masculino,33
778,PR,Feminino,58
779,SC,Masculino,28
780,RS,Masculino,28
781,SC,Feminino,35
782,RS,Masculino,27
783,RS,Feminino,28
784,RS,Masculino,41
785,RS,Feminino,35
786,PR,Masculino,58
787,SC,Masculino,36
788,RS,Masculino,26
789,PR,Masculino,42
790,SC,Feminino,35
791,SC,Masculino,48
792,RS,Masculino,36
793,RS,Masculino,49
794,PR,Feminino,48
795,PR,Feminino,34
796,RS,Masculino,29
797,PR,Masculino,36
798,RS,Feminino,46
799,PR,Masculino,32
800,RS,Feminino,35
801,PR,Feminino,42
802,RS,Masculino,52
803,PR,Feminino,44
804,PR,Feminino,31
805,SC,Feminino,29
806,RS,Masculino,39
807,SC,Feminino,46
808,RS,Feminino,33
809,RS,Masculino,69
810,PR,Masculino,53
811,RS,Feminino,37
812,RS,Feminino,35
813,SC,Masculino,65
814,SC,Feminino,33
815,PR,Masculino,28
816,RS,Feminino,26
817,RS,Masculino,25
818,RS,Masculino,29
819,PR,Feminino,42
820,SC,Masculino,27
821,RS,Feminino,43
822,PR,Masculino,36
823,RS,Feminino,36
824,SC,Masculino,34
825,SC,Feminino,69
826,SC,Masculino,36
827,PR,Masculino,33
828,RS,Feminino,47
829,SC,Masculino,56
830,PR,Feminino,31
831,RS,Feminino,39
832,RS,Feminino,34
833,SC,Feminino,41
834,PR,Feminino,29
835,PR,Masculino,37
836,RS,Feminino,30
837,RS,Masculino,34
838,SC,Feminino,37
839,PR,Feminino,56
840,SC,Feminino,48
841,RS,Masculino,36
842,PR,Masculino,50
843,RS,Feminino,31
844,PR,Masculino,35
845,SC,Feminino,41
846,RS,Masculino,44
847,RS,Masculino,49
848,PR,Masculino,21
849,RS,Feminino,42
850,SC,Masculino,51
851,RS,Masculino,25
852,PR,Masculino,46
853,PR,Feminino,0
854,PR,Feminino,41
855,RS,Feminino,43
856,RS,Feminino,57
857,SC,Masculino,32
858,PR,Feminino,49
859,SC,Masculino,39
860,SC,Masculino,32
861,RS,Masculino,64
862,RS,Masculino,43
863,RS,Feminino,32
864,RS,Masculino,41
865,RS,Masculino,53
866,RS,Masculino,38
867,PR,Feminino,25
868,RS,Masculino,38
869,RS,Feminino,37
870,PR,Masculino,44
871,RS,Masculino,36
872,RS,Feminino,40
873,PR,Feminino,45
874,RS,Feminino,35
875,RS,Masculino,28
876,RS,Feminino,38
877,RS,Feminino,39
878,PR,Feminino,32
879,SC,Feminino,42
880,RS,Feminino,33
881,RS,Feminino,45
882,RS,Feminino,60
883,RS,Feminino,43
884,RS,Masculino,36
885,RS,Feminino,45
886,RS,Masculino,65
887,RS,Masculino,25
888,SC,Masculino,38
889,RS,Masculino,0
890,PR,Masculino,74
891,RS,Feminino,43
892,SC,Masculino,37
893,PR,Masculino,32
894,RS,Masculino,42
895,RS,Feminino,51
896,PR,Feminino,35
897,PR,Masculino,32
898,RS,Masculino,35
899,RS,Feminino,40
900,RS,Feminino,40
901,PR,Masculino,25
902,PR,Masculino,40
903,RS,Masculino,36
904,RS,Feminino,48
905,RS,Masculino,28
906,RS,Masculino,58
907,RS,Feminino,45
908,RS,Masculino,33
909,RS,Feminino,46
910,SC,Masculino,31
911,SC,Masculino,25
912,RS,Masculino,36
913,SC,Feminino,53
914,SC,Feminino,32
915,PR,Masculino,27
916,RS,Masculino,35
917,RS,Masculino,47
918,RS,Masculino,39
919,RS,Feminino,45
920,SC,Masculino,35
921,SC,Masculino,45
922,RS,Masculino,44
923,SC,Masculino,61
924,RS,Masculino,51
925,PR,Feminino,19
926,RS,Feminino,34
927,PR,Feminino,36
928,SC,Masculino,35
929,PR,Masculino,38
930,PR,Masculino,61
931,RS,Feminino,24
932,SC,Masculino,0
933,PR,Masculino,0
934,PR,Feminino,42
935,SC,Masculino,36
936,SC,Masculino,37
937,RS,Feminino,38
938,RS,Masculino,52
939,PR,Feminino,44
940,RS,Feminino,37
941,RS,Feminino,37
942,SC,Masculino,35
943,RS,Feminino,31
944,RS,Feminino,46
945,PR,Feminino,29
946,RS,Masculino,36
947,SC,Feminino,25
948,SC,Feminino,39
949,RS,Feminino,0
950,RS,Masculino,67
951,RS,Feminino,48
952,RS,Feminino,48
953,PR,Masculino,33
954,PR,Feminino,66
955,SC,Masculino,39
956,SC,Feminino,42
957,RS,Feminino,44
958,SC,Feminino,43
959,SC,Feminino,67
960,SC,Masculino,27
961,RS,Feminino,37
962,PR,Feminino,31
963,SC,Masculino,35
964,SC,Masculino,32
965,SC,Masculino,63
966,PR,Feminino,43
967,RS,Feminino,42
968,RS,Feminino,34
969,SC,Feminino,34
970,RS,Masculino,37
971,PR,Masculino,70
972,RS,Feminino,48
973,RS,Masculino,25
974,PR,Masculino,43
975,SC,Masculino,38
976,RS,Masculino,34
977,SC,Feminino,36
978,RS,Feminino,43
979,RS,Feminino,38
980,RS,Feminino,48
981,RS,Feminino,46
982,RS,Masculino,27
983,PR,Feminino,44
984,RS,Masculino,32
985,PR,Feminino,35
986,RS,Masculino,37
987,PR,Masculino,31
988,RS,Masculino,36
989,SC,Masculino,34
990,SC,Feminino,31
991,RS,Feminino,49
992,RS,Masculino,37
993,RS,Feminino,35
994,PR,Feminino,42
995,SC,Feminino,28
996,SC,Masculino,43
997,SC,Masculino,29
998,SC,Masculino,44
999,SC,Masculino,62
1000,PR,Feminino,28
